"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","AVG_SCORE_Z","MEDIAN_SCORE","STDEV_SCORE","PROVINCE_AVG","PROVINCE_SD","pm25","burned_ha","fire_count"
20,"Kootenay-Columbia",2021,"07","252",457.7374,-0.138041877549639,466.291,106.7016,474.0476,118.154,18.5052814006805,59490,23
20,"Kootenay-Columbia",2022,"04","314",470.9272,-0.0756846220599942,470.0215,92.8618,479.387,111.777,6.62234983444214,2184,17
20,"Kootenay-Columbia",2022,"07","269",450.0691,-0.158758736264119,448.5495,100.1828,468.296,114.8088,6.62234983444214,2184,17
20,"Kootenay-Columbia",2023,"04","309",458.8519,-0.164028421838612,459.5878,97.4808,477.3267,112.6317,13.6168760299683,177,10
20,"Kootenay-Columbia",2023,"07","367",444.5468,-0.135131702259862,441.3577,98.6715,460.2924,116.5204,13.6168760299683,177,10
20,"Kootenay-Columbia",2024,"04","302",451.0752,-0.265153146028071,451.7767,101.1168,479.7736,108.2333,8.34203147888184,12396,21
20,"Kootenay-Columbia",2024,"07","331",451.5587,-0.161520519526251,451.9804,96.3479,469.7227,112.4563,8.34203147888184,12396,21
22,"Vernon",2017,"04","578",398.7214,0.128722970216238,433,178.5222,369.7585,225.0018,12.2126008033752,3629,25
22,"Vernon",2017,"07","587",411.705,0.203980329709604,440,157.181,365.4176,226.9209,12.2126008033752,3629,25
22,"Vernon",2018,"04","598",399.428,0.16496355713424,451,181.6904,361.6057,229.2767,11.6817746162415,20265,83
22,"Vernon",2018,"07","568",410.6698,0.233254815546522,452,167.0276,356.6422,231.6248,11.6817746162415,20265,83
22,"Vernon",2019,"04","538",400.9406,0.145993546439977,450,183.2503,366.7404,234.2583,4.01458821296692,45,6
22,"Vernon",2019,"07","590",419.6262,0.268026939407788,448,163.444,357.1648,233.0415,4.01458821296692,45,6
22,"Vernon",2020,"04","563",419.1448,0.315433672720584,474,193.3401,338.5485,255.5095,6.28643374443054,1425,14
22,"Vernon",2020,"07","586",417.1157,0.388054846609773,469,187.3899,318.5741,253.9373,6.28643374443054,1425,14
22,"Vernon",2021,"04","593",467.2585,-0.205569628350853,466.5616,96.5564,490.3953,112.5497,15.7710395812988,153797,64
22,"Vernon",2021,"07","649",452.986,-0.178255497063155,449.0674,98.9329,474.0476,118.154,15.7710395812988,153797,64
22,"Vernon",2022,"04","625",460.4236,-0.169653864390706,458.9813,95.0518,479.387,111.777,4.9795193195343,2588,36
22,"Vernon",2022,"07","616",438.5502,-0.259089895548076,438.0007,94.3013,468.296,114.8088,4.9795193195343,2588,36
22,"Vernon",2023,"04","609",465.0255,-0.109216144300406,467.9795,95.0256,477.3267,112.6317,12.9176139831543,61356,35
22,"Vernon",2023,"07","624",444.9858,-0.131364121647368,441.3493,96.2299,460.2924,116.5204,12.9176139831543,61356,35
22,"Vernon",2024,"04","618",456.7274,-0.212930770844093,464.6976,99.0085,479.7736,108.2333,8.05369272232056,5558,44
22,"Vernon",2024,"07","641",460.6319,-0.0808385123821431,456.5255,101.2093,469.7227,112.4563,8.05369272232056,5558,44
23,"Central Okanagan",2017,"04","1245",332.7934,-0.164288019029181,416,226.5752,369.7585,225.0018,12.4643644332886,8254,19
23,"Central Okanagan",2017,"07","1048",286.1175,-0.349461420257015,377,228.1123,365.4176,226.9209,12.4643644332886,8254,19
23,"Central Okanagan",2018,"04","1350",361.9404,0.00145980817065144,445,222.6969,361.6057,229.2767,11.4885717391968,6081,36
23,"Central Okanagan",2018,"07","1012",264.3178,-0.398594623719049,350,228.6274,356.6422,231.6248,11.4885717391968,6081,36
23,"Central Okanagan",2019,"04","1302",361.0569,-0.0242616803758929,438,218.5221,366.7404,234.2583,4.36650524139404,64,11
23,"Central Okanagan",2019,"07","1164",288.6106,-0.29417163895701,374,227.8355,357.1648,233.0415,4.36650524139404,64,11
23,"Central Okanagan",2020,"04","1362",375.101,0.143057303153112,451,225.3765,338.5485,255.5095,6.58173656463623,2187,12
