"SCHOOL_DISTRICT_NUMBER","year","month","SCHOOL_DISTRICT_NAME","burned_ha_50km","fire_count_50km"
22,2024,9,"Vernon",1,1
23,2017,5,"Central Okanagan",6,2
23,2017,6,"Central Okanagan",2,1
23,2017,7,"Central Okanagan",3411,8
23,2017,8,"Central Okanagan",2647,5
23,2017,9,"Central Okanagan",2188,3
23,2018,5,"Central Okanagan",6,1
23,2018,6,"Central Okanagan",0,0
23,2018,7,"Central Okanagan",5247,22
23,2018,8,"Central Okanagan",828,13
23,2018,9,"Central Okanagan",0,0
23,2019,5,"Central Okanagan",25,2
23,2019,6,"Central Okanagan",18,4
23,2019,7,"Central Okanagan",0,0
23,2019,8,"Central Okanagan",0,0
23,2019,9,"Central Okanagan",21,5
23,2020,5,"Central Okanagan",2,1
23,2020,6,"Central Okanagan",18,1
23,2020,7,"Central Okanagan",0,0
23,2020,8,"Central Okanagan",2140,9
23,2020,9,"Central Okanagan",27,1
23,2021,5,"Central Okanagan",0,0
23,2021,6,"Central Okanagan",1158,7
23,2021,7,"Central Okanagan",93569,18
23,2021,8,"Central Okanagan",1372,6
23,2021,9,"Central Okanagan",167,2
23,2022,5,"Central Okanagan",0,1
23,2022,6,"Central Okanagan",0,0
23,2022,7,"Central Okanagan",6451,8
23,2022,8,"Central Okanagan",8,3
23,2022,9,"Central Okanagan",60,2
23,2023,5,"Central Okanagan",5,1
23,2023,6,"Central Okanagan",41,2
23,2023,7,"Central Okanagan",22366,15
23,2023,8,"Central Okanagan",1362,5
23,2023,9,"Central Okanagan",611,1
23,2024,5,"Central Okanagan",14,1
23,2024,6,"Central Okanagan",1,1
23,2024,7,"Central Okanagan",1272,7
23,2024,8,"Central Okanagan",878,9
23,2024,9,"Central Okanagan",0,0
27,2017,5,"Cariboo-Chilcotin",10,2
27,2017,6,"Cariboo-Chilcotin",40,4
27,2017,7,"Cariboo-Chilcotin",920803,56
27,2017,8,"Cariboo-Chilcotin",783,7
27,2017,9,"Cariboo-Chilcotin",89,2
27,2018,5,"Cariboo-Chilcotin",3582,4
27,2018,6,"Cariboo-Chilcotin",2407,7
27,2018,7,"Cariboo-Chilcotin",126632,52
27,2018,8,"Cariboo-Chilcotin",171568,46
27,2018,9,"Cariboo-Chilcotin",2,1
27,2019,5,"Cariboo-Chilcotin",101,6
27,2019,6,"Cariboo-Chilcotin",74,4
27,2019,7,"Cariboo-Chilcotin",37,2
27,2019,8,"Cariboo-Chilcotin",2,2
27,2019,9,"Cariboo-Chilcotin",1,1
27,2020,5,"Cariboo-Chilcotin",0,0
27,2020,6,"Cariboo-Chilcotin",0,0
27,2020,7,"Cariboo-Chilcotin",3,1
27,2020,8,"Cariboo-Chilcotin",404,3
27,2020,9,"Cariboo-Chilcotin",18,1
27,2021,5,"Cariboo-Chilcotin",251,3
27,2021,6,"Cariboo-Chilcotin",146115,27
27,2021,7,"Cariboo-Chilcotin",115053,45
27,2021,8,"Cariboo-Chilcotin",383,14
27,2021,9,"Cariboo-Chilcotin",0,0
27,2022,5,"Cariboo-Chilcotin",106,4
27,2022,6,"Cariboo-Chilcotin",232,2
27,2022,7,"Cariboo-Chilcotin",1256,7
27,2022,8,"Cariboo-Chilcotin",4897,28
27,2022,9,"Cariboo-Chilcotin",210,7
27,2023,5,"Cariboo-Chilcotin",4369,15
27,2023,6,"Cariboo-Chilcotin",428,7
