"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE","pm25","burned_ha_75km","fire_count_75km","AVG_SCORE_Z"
78,"Fraser-Cascade",2018,"07","83",273.843,340,201.8178,7.58072080612183,45326,42,-0.357471220698302
79,"Cowichan Valley",2018,"07","302",217.5164,0,230.1649,5.89190812110901,353,11,-0.600651570988944
81,"Fort Nelson",2018,"07","43",513.2826,543,150.8952,12.6449465751648,210172,62,0.676267826243131
82,"Coast Mountains",2018,"07","231",322.0888,388.5,199.3436,6.04426651000977,292501,35,-0.149178326327751
83,"K̓wsaltktnéws ne Secwepemcúl’ecw",2018,"07","451",411.9245,431,145.7763,11.7504535675049,15539,113,0.238671765717661
84,"Vancouver Island West",2018,"07","20",289.3448,369,214.1981,7.38992066383362,5269,37,-0.290544881204431
85,"Vancouver Island North",2018,"07","95",399.6,442,183.7851,7.76472616195679,70765,48,0.185462869260977
87,"Stikine",2018,"07","10",192.75,232.5,170.6773,8.82557821273804,283762,39,-0.707576218090636
91,"Nechako Lakes",2018,"07","196",332.3294,380,196.7647,22.9446781158447,510891,110,-0.10496630758019
92,"Nisga'a",2018,"07","20",250.6296,303,162.5021,4.02276287078857,3967,8,-0.457691058988502
5,"Southeast Kootenay",2019,"04","393",382.6047,434,186.1208,3.48403811454773,103,9,0.0677213998394079
6,"Rocky Mountain",2019,"04","284",458.0653,473,112.1745,2.75054051876068,103,9,0.389847019294514
8,"Kootenay Lake",2019,"04","279",395.2917,454.5,202.501,3.2307345867157,104,10,0.121879566273639
10,"Arrow Lakes",2019,"04","30",417.7143,486,189.5061,3.53605999946594,18,5,0.217596985891215
19,"Revelstoke",2019,"04","63",440.9855,455,163.4776,3.46162595748901,9,3,0.316936902555854
20,"Kootenay-Columbia",2019,"04","124",207.8582,0,244.8783,4.16724553108215,22,4,-0.678235093484414
22,"Vernon",2019,"04","538",400.9406,450,183.2503,4.01458821296692,2511,10,0.145993546439977
23,"Central Okanagan",2019,"04","1302",361.0569,438,218.5221,4.36650524139404,3396,16,-0.0242616803758929
27,"Cariboo-Chilcotin",2019,"04","294",408.5881,435.5,151.3528,3.98649845123291,462,20,0.178639134664599
28,"Quesnel",2019,"04","162",268.9307,323,197.1382,5.43289937973022,401,10,-0.417529282847182
33,"Chilliwack",2019,"04","926",426.939,462,173.1684,4.75586996078491,5,1,0.256975313147923
34,"Abbotsford",2019,"04","1428",439.5418,463.5,148.7198,5.18266630172729,9,2,0.310774047280288
35,"Langley",2019,"04","1376",429.8997,471,181.5615,4.98436107635498,13,3,0.269613926166117
36,"Surrey",2019,"04","3163",267.4775,344,242.5621,5.07139253616333,13,3,-0.423732691648492
37,"Delta",2019,"04","700",294.9559,388,245.0281,4.97601532936096,13,3,-0.306433112508714
38,"Richmond",2019,"04","795",310.5619,415,270.5279,4.69740710258484,30,6,-0.239814341690348
39,"Vancouver",2019,"04","1955",286.6507,381,263.7482,4.45727648735046,33,7,-0.341886285352536
40,"New Westminster",2019,"04","418",409.3861,475,219.2874,5.64453163146973,13,3,0.182045630827168
41,"Burnaby",2019,"04","1098",326.1634,433.5,262.9369,5.51009101867676,13,3,-0.173214780436808
42,"Maple Ridge-Pitt Meadows",2019,"04","301",120.8736,0,208.3392,5.35136880874634,18,5,-1.04955427406414
43,"Coquitlam",2019,"04","1691",370.9704,450,227.5025,5.12537536621094,17,4,0.0180569909369271
44,"North Vancouver",2019,"04","1100",474.5174,502,159.6795,4.8647216796875,30,6,0.460077615179483
45,"West Vancouver",2019,"04","430",522.7058,581,205.0063,3.9551558971405,25,5,0.665783880443083
46,"Sunshine Coast",2019,"04","190",367.5217,441,228.5966,3.80462765693665,47,8,0.00333520733310191
47,"qathet",2019,"04","122",281.2421,345,227.7549,3.08707625865936,51,10,-0.364974474757138
48,"Sea to Sky",2019,"04","375",417.2433,454,158.0908,4.17981147766113,46,10,0.215586384772706
49,"Central Coast",2019,"04","22",417.5,488.5,210.5688,3.46723103523254,124,7,0.216682183726254
50,"Haida Gwaii",2019,"04","29",379.0968,372,143.9475,3.99504899978638,0,0,0.0527469037383092
51,"Boundary",2019,"04","79",368.3069,437,214.0509,3.99091424942017,3347,8,0.00668706295572008
52,"Prince Rupert",2019,"04","153",408.0373,431,140.8634,3.25626420974731,3,2,0.176287883929833
53,"Okanagan Similkameen",2019,"04","141",449.1974,469,153.8381,3.79744386672974,3362,12,0.35199179708894
54,"Bulkley Valley",2019,"04","137",422.1486,445.5,151.9039,5.17784910202026,17,4,0.236526091071266
57,"Prince George",2019,"04","917",409.4842,431,146.7405,5.17503628730774,350,11,0.182464399340386
