"year","DISTRICT_NUMBER","DISTRICT_NAME","SUB_POPULATION","GRADE","FSA_SKILL_CODE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE"
2018,23,"Central Okanagan","All Students","07","Numeracy","1012",264.3178,350,228.6274
2018,27,"Cariboo-Chilcotin","All Students","07","Numeracy","334",390.9496,409,134.8234
2018,28,"Quesnel","All Students","07","Numeracy","106",159.5472,0,200.2312
2018,33,"Chilliwack","All Students","07","Numeracy","825",349.2171,410,200.7567
2018,34,"Abbotsford","All Students","07","Numeracy","1347",443.5942,466,147.0181
2018,35,"Langley","All Students","07","Numeracy","1324",404.2332,442.5,181.6455
2018,36,"Surrey","All Students","07","Numeracy","3404",297.7103,387,246.9884
2018,37,"Delta","All Students","07","Numeracy","877",362.6455,441,216.1498
2018,38,"Richmond","All Students","07","Numeracy","956",348.2885,470,273.25
2018,39,"Vancouver","All Students","07","Numeracy","1866",270.9087,334,269.479
2018,40,"New Westminster","All Students","07","Numeracy","374",363.913,431,215.8324
2018,41,"Burnaby","All Students","07","Numeracy","1110",351.4848,459.5,256.6534
2018,42,"Maple Ridge-Pitt Meadows","All Students","07","Numeracy","310",128.0862,0,212.8299
2018,43,"Coquitlam","All Students","07","Numeracy","1758",369.6603,434,217.8828
2018,44,"North Vancouver","All Students","07","Numeracy","1016",433.8834,481.5,185.8186
2018,45,"West Vancouver","All Students","07","Numeracy","480",519.8843,568,196.0762
2018,46,"Sunshine Coast","All Students","07","Numeracy","223",416.3487,469,196.1808
2018,47,"qathet","All Students","07","Numeracy","145",348.8889,394.5,193.7748
2018,48,"Sea to Sky","All Students","07","Numeracy","349",425.8783,454,154.3877
2018,49,"Central Coast","All Students","07","Numeracy","14",236.7727,310,194.553
2018,50,"Haida Gwaii","All Students","07","Numeracy","34",375.9744,414,163.0624
2018,51,"Boundary","All Students","07","Numeracy","98",397.9167,419.5,151.2139
2018,52,"Prince Rupert","All Students","07","Numeracy","133",378.6067,414.5,158.6695
2018,53,"Okanagan Similkameen","All Students","07","Numeracy","181",434.1762,452,141.4091
2018,54,"Bulkley Valley","All Students","07","Numeracy","137",455.8699,485.5,158.9903
2018,57,"Prince George","All Students","07","Numeracy","870",408.5365,441,147.7587
2018,58,"Nicola-Similkameen","All Students","07","Numeracy","149",417.3625,442.5,143.5012
2018,59,"Peace River South","All Students","07","Numeracy","217",428.9079,451,135.7024
2018,60,"Peace River North","All Students","07","Numeracy","383",410.6024,422.5,145.5152
2018,61,"Greater Victoria","All Students","07","Numeracy","726",240.7015,286,244.2521
2018,62,"Sooke","All Students","07","Numeracy","217",119.376,0,200.4657
2018,63,"Saanich","All Students","07","Numeracy","351",296.8252,390,239.0781
2018,64,"Gulf Islands","All Students","07","Numeracy","70",246.3681,0,261.1928
2018,67,"Okanagan Skaha","All Students","07","Numeracy","422",431.6849,448,115.771
2018,68,"Nanaimo-Ladysmith","All Students","07","Numeracy","719",308.3933,390,222.0837
2018,69,"Qualicum","All Students","07","Numeracy","276",426.3642,453.5,155.3031
2018,70,"Pacific Rim","All Students","07","Numeracy","265",416.1828,430,131.7699
2018,71,"Comox Valley","All Students","07","Numeracy","407",307.15,389,226.3486
2018,72,"Campbell River","All Students","07","Numeracy","319",346.645,402.5,194.7031
2018,73,"Kamloops-Thompson","All Students","07","Numeracy","1021",441.6841,462,143.6968
2018,74,"Gold Trail","All Students","07","Numeracy","71",420.3467,418,132.8662
2018,75,"Mission","All Students","07","Numeracy","400",372.1892,397,148.9223
2018,78,"Fraser-Cascade","All Students","07","Numeracy","83",273.843,340,201.8178
2018,79,"Cowichan Valley","All Students","07","Numeracy","302",217.5164,0,230.1649
2018,81,"Fort Nelson","All Students","07","Numeracy","43",513.2826,543,150.8952
2018,82,"Coast Mountains","All Students","07","Numeracy","231",322.0888,388.5,199.3436
2018,83,"K̓wsaltktnéws ne Secwepemcúl’ecw","All Students","07","Numeracy","451",411.9245,431,145.7763
2018,84,"Vancouver Island West","All Students","07","Numeracy","20",289.3448,369,214.1981
2018,85,"Vancouver Island North","All Students","07","Numeracy","95",399.6,442,183.7851
2018,87,"Stikine","All Students","07","Numeracy","10",192.75,232.5,170.6773
2018,91,"Nechako Lakes","All Students","07","Numeracy","196",332.3294,380,196.7647
2018,92,"Nisga'a","All Students","07","Numeracy","20",250.6296,303,162.5021
2019,5,"Southeast Kootenay","All Students","04","Numeracy","393",382.6047,434,186.1208
2019,6,"Rocky Mountain","All Students","04","Numeracy","284",458.0653,473,112.1745
2019,8,"Kootenay Lake","All Students","04","Numeracy","279",395.2917,454.5,202.501
2019,10,"Arrow Lakes","All Students","04","Numeracy","30",417.7143,486,189.5061
2019,19,"Revelstoke","All Students","04","Numeracy","63",440.9855,455,163.4776
2019,20,"Kootenay-Columbia","All Students","04","Numeracy","124",207.8582,0,244.8783
2019,22,"Vernon","All Students","04","Numeracy","538",400.9406,450,183.2503
2019,23,"Central Okanagan","All Students","04","Numeracy","1302",361.0569,438,218.5221
2019,27,"Cariboo-Chilcotin","All Students","04","Numeracy","294",408.5881,435.5,151.3528
2019,28,"Quesnel","All Students","04","Numeracy","162",268.9307,323,197.1382
2019,33,"Chilliwack","All Students","04","Numeracy","926",426.939,462,173.1684
2019,34,"Abbotsford","All Students","04","Numeracy","1428",439.5418,463.5,148.7198
2019,35,"Langley","All Students","04","Numeracy","1376",429.8997,471,181.5615
2019,36,"Surrey","All Students","04","Numeracy","3163",267.4775,344,242.5621
2019,37,"Delta","All Students","04","Numeracy","700",294.9559,388,245.0281
2019,38,"Richmond","All Students","04","Numeracy","795",310.5619,415,270.5279
2019,39,"Vancouver","All Students","04","Numeracy","1955",286.6507,381,263.7482
2019,40,"New Westminster","All Students","04","Numeracy","418",409.3861,475,219.2874
2019,41,"Burnaby","All Students","04","Numeracy","1098",326.1634,433.5,262.9369
2019,42,"Maple Ridge-Pitt Meadows","All Students","04","Numeracy","301",120.8736,0,208.3392
2019,43,"Coquitlam","All Students","04","Numeracy","1691",370.9704,450,227.5025
2019,44,"North Vancouver","All Students","04","Numeracy","1100",474.5174,502,159.6795
2019,45,"West Vancouver","All Students","04","Numeracy","430",522.7058,581,205.0063
2019,46,"Sunshine Coast","All Students","04","Numeracy","190",367.5217,441,228.5966
2019,47,"qathet","All Students","04","Numeracy","122",281.2421,345,227.7549
2019,48,"Sea to Sky","All Students","04","Numeracy","375",417.2433,454,158.0908
2019,49,"Central Coast","All Students","04","Numeracy","22",417.5,488.5,210.5688
2019,50,"Haida Gwaii","All Students","04","Numeracy","29",379.0968,372,143.9475
2019,51,"Boundary","All Students","04","Numeracy","79",368.3069,437,214.0509
2019,52,"Prince Rupert","All Students","04","Numeracy","153",408.0373,431,140.8634
2019,53,"Okanagan Similkameen","All Students","04","Numeracy","141",449.1974,469,153.8381
2019,54,"Bulkley Valley","All Students","04","Numeracy","137",422.1486,445.5,151.9039
2019,57,"Prince George","All Students","04","Numeracy","917",409.4842,431,146.7405
2019,58,"Nicola-Similkameen","All Students","04","Numeracy","134",446.55,467,135.0568
2019,59,"Peace River South","All Students","04","Numeracy","255",444.3722,452.5,137.5065
2019,60,"Peace River North","All Students","04","Numeracy","439",414.8542,442,166.2536
2019,61,"Greater Victoria","All Students","04","Numeracy","884",280.3772,381,253.5648
2019,62,"Sooke","All Students","04","Numeracy","312",167.304,0,231.9923
2019,63,"Saanich","All Students","04","Numeracy","383",368.6069,450.5,221.0322
2019,64,"Gulf Islands","All Students","04","Numeracy","122",471.7273,513,165.2537
2019,67,"Okanagan Skaha","All Students","04","Numeracy","373",437.3674,471,166.5278
2019,68,"Nanaimo-Ladysmith","All Students","04","Numeracy","828",335.2151,411,215.9982
2019,69,"Qualicum","All Students","04","Numeracy","250",415.4806,451,177.2683
2019,70,"Pacific Rim","All Students","04","Numeracy","280",435.5,441,162.8258
2019,71,"Comox Valley","All Students","04","Numeracy","550",356.5944,430,210.0179
2019,72,"Campbell River","All Students","04","Numeracy","365",406.0347,442,158.5033
2019,73,"Kamloops-Thompson","All Students","04","Numeracy","1046",439.9571,461.5,145.9517
2019,74,"Gold Trail","All Students","04","Numeracy","93",393.8526,386,110.1096
2019,75,"Mission","All Students","04","Numeracy","390",340.3676,410,215.9798
2019,78,"Fraser-Cascade","All Students","04","Numeracy","80",318.4228,429,247.5414
2019,79,"Cowichan Valley","All Students","04","Numeracy","330",219.5893,214,223.7081
2019,81,"Fort Nelson","All Students","04","Numeracy","45",532.24,581.5,186.1472
2019,82,"Coast Mountains","All Students","04","Numeracy","219",362.0221,413,203.3553
2019,83,"K̓wsaltktnéws ne Secwepemcúl’ecw","All Students","04","Numeracy","474",398.2224,440,170.2124
2019,84,"Vancouver Island West","All Students","04","Numeracy","31",378.4,399,170.325
2019,85,"Vancouver Island North","All Students","04","Numeracy","86",435.2396,469.5,186.7566
2019,87,"Stikine","All Students","04","Numeracy","11",293.2667,341,203.6069
2019,91,"Nechako Lakes","All Students","04","Numeracy","211",332.9929,392,215.9074
2019,92,"Nisga'a","All Students","04","Numeracy","32",342.303,359,84.6111
2019,5,"Southeast Kootenay","All Students","07","Numeracy","407",390.6504,413.5,158.135
2019,6,"Rocky Mountain","All Students","07","Numeracy","268",467.1649,469,137.6802
2019,8,"Kootenay Lake","All Students","07","Numeracy","320",355.15,416.5,199.9366
2019,10,"Arrow Lakes","All Students","07","Numeracy","38",405.1087,467,206.3008
2019,19,"Revelstoke","All Students","07","Numeracy","67",448.8,496,179.8963
