"SCHOOL_DISTRICT_NAME","SCHOOL_DISTRICT_NUMBER","year","month","pm25_mean"
"Powell RIver",47,2017,6,3.45797967910767
"Sea to Sky",48,2017,6,3.61059045791626
"South East Kootenay",5,2017,6,2.99883484840393
"Haida Gwaii",50,2017,6,3.13099551200867
"Boundary",51,2017,6,3.94582939147949
"Prince Rupert",52,2017,6,2.52916288375854
"Bulkley Valley",54,2017,6,2.62927269935608
"Prince George",57,2017,6,3.82271122932434
"Nicola-Similkameen",58,2017,6,3.53801941871643
"Peace River South",59,2017,6,4.19884777069092
"Rocky Mountain",6,2017,6,3.08970832824707
"Peace River North",60,2017,6,3.70404195785522
"Victoria",61,2017,6,4.69921588897705
"Sooke",62,2017,6,3.42473149299622
"Saanich",63,2017,6,4.78511953353882
"Gulf Islands",64,2017,6,5.08893394470215
"Nanaimo-Ladysmith",68,2017,6,3.65644788742065
"Qualicum",69,2017,6,4.05431652069092
"Pacific Rim",70,2017,6,2.47448515892029
"Comox Valley",71,2017,6,3.19414234161377
"Campbell River",72,2017,6,2.55968046188354
"Kamloops-Thompson",73,2017,6,4.26255321502686
"Gold Trail",74,2017,6,4.0321307182312
"Mission",75,2017,6,3.96461963653564
"Fraser-Cascade",78,2017,6,3.08090925216675
"Cowichan",79,2017,6,2.71974015235901
"Kootenay Lake",8,2017,6,3.36004304885864
"Fort Nelson",81,2017,6,4.47864818572998
"Coast Mountains",82,2017,6,2.38575720787048
"Okanagan-Shuswap",83,2017,6,4.64888715744019
"Vancouver Island West",84,2017,6,2.09112071990967
"Vancouver Island North",85,2017,6,2.36466145515442
"Stikine",87,2017,6,1.9148530960083
"Nechako Lakes",91,2017,6,2.84037232398987
"Nisgaa",92,2017,6,2.35352563858032
"Central Coast",49,2017,6,2.29983305931091
"Okanagan-Skaha",67,2017,6,4.49465656280518
"Okanagan-Similkameen",53,2017,6,3.3714292049408
"Arrow Lakes",10,2017,7,10.6888113021851
"Revelstoke",19,2017,7,17.3337306976318
"Kootenay-Columbia",20,2017,7,9.03317832946777
"Vernon",22,2017,7,9.54279327392578
"Central Okanagan",23,2017,7,9.39511966705322
"Cariboo-Chilcotin",27,2017,7,23.5707454681396
"Quesnel",28,2017,7,25.8481540679932
"Chilliwack",33,2017,7,6.3417820930481
"Abbotsford",34,2017,7,5.88301610946655
"Langley",35,2017,7,5.65743732452393
"Surrey",36,2017,7,6.49253034591675
"Delta",37,2017,7,6.39352369308472
"Richmond",38,2017,7,7.07114839553833
"Vancouver",39,2017,7,7.04446029663086
"New Westminster",40,2017,7,7.92532253265381
"Burnaby",41,2017,7,8.2263240814209
"Maple-Ridge Pitt-Meadows",42,2017,7,6.67244005203247
"Coquitlam",43,2017,7,6.98324012756348
"North Vancouver",44,2017,7,6.87549209594727
"West Vancouver",45,2017,7,5.86232709884644
"Sunshine Coast",46,2017,7,5.00714683532715
"Powell RIver",47,2017,7,4.45969104766846
"Sea to Sky",48,2017,7,5.61513900756836
"South East Kootenay",5,2017,7,6.7028751373291
"Haida Gwaii",50,2017,7,3.38256049156189
"Boundary",51,2017,7,8.42595863342285
"Prince Rupert",52,2017,7,3.23390555381775
"Bulkley Valley",54,2017,7,2.310542345047
"Prince George",57,2017,7,10.5880241394043
"Nicola-Similkameen",58,2017,7,10.4099760055542
"Peace River South",59,2017,7,4.84871578216553
"Rocky Mountain",6,2017,7,13.7170448303223
"Peace River North",60,2017,7,3.0581374168396
"Victoria",61,2017,7,4.92088937759399
"Sooke",62,2017,7,3.45305275917053
"Saanich",63,2017,7,4.61594247817993
"Gulf Islands",64,2017,7,4.91188478469849
"Nanaimo-Ladysmith",68,2017,7,4.35154485702515
"Qualicum",69,2017,7,5.11762237548828
"Pacific Rim",70,2017,7,3.25194478034973
"Comox Valley",71,2017,7,4.44676351547241
"Campbell River",72,2017,7,3.79020929336548
"Kamloops-Thompson",73,2017,7,22.8349533081055
"Gold Trail",74,2017,7,21.2563362121582
"Mission",75,2017,7,6.52836275100708
"Fraser-Cascade",78,2017,7,7.05463361740112
"Cowichan",79,2017,7,3.1019594669342
"Kootenay Lake",8,2017,7,10.3055582046509
"Fort Nelson",81,2017,7,4.04230403900146
"Coast Mountains",82,2017,7,3.18976879119873
"Okanagan-Shuswap",83,2017,7,13.8943147659302
"Vancouver Island West",84,2017,7,2.95891571044922
"Vancouver Island North",85,2017,7,3.25562739372253
"Stikine",87,2017,7,3.60362982749939
"Nechako Lakes",91,2017,7,4.0768609046936
"Nisgaa",92,2017,7,3.68769717216492
"Central Coast",49,2017,7,3.92065477371216
"Okanagan-Skaha",67,2017,7,8.46810245513916
"Okanagan-Similkameen",53,2017,7,10.1433897018433
"Arrow Lakes",10,2017,8,21.0667343139648
"Revelstoke",19,2017,8,22.46462059021
"Kootenay-Columbia",20,2017,8,25.1276836395264
"Vernon",22,2017,8,26.1129341125488
"Central Okanagan",23,2017,8,25.0321578979492
"Cariboo-Chilcotin",27,2017,8,82.226806640625
"Quesnel",28,2017,8,144.683990478516
"Chilliwack",33,2017,8,11.2217273712158
"Abbotsford",34,2017,8,10.3015336990356
"Langley",35,2017,8,10.2857685089111
"Surrey",36,2017,8,11.507025718689
"Delta",37,2017,8,15.8451728820801
"Richmond",38,2017,8,17.144775390625
"Vancouver",39,2017,8,17.4468898773193
"New Westminster",40,2017,8,10.7549343109131
"Burnaby",41,2017,8,11.8035850524902
"Maple-Ridge Pitt-Meadows",42,2017,8,9.59162044525146
"Coquitlam",43,2017,8,9.86911106109619
"North Vancouver",44,2017,8,8.76370143890381
"West Vancouver",45,2017,8,14.774317741394
"Sunshine Coast",46,2017,8,18.5643730163574
"Powell RIver",47,2017,8,18.6887340545654
"Sea to Sky",48,2017,8,16.347936630249
"South East Kootenay",5,2017,8,20.3943862915039
"Haida Gwaii",50,2017,8,2.62573719024658
"Boundary",51,2017,8,25.6527099609375
"Prince Rupert",52,2017,8,3.14517164230347
"Bulkley Valley",54,2017,8,9.75159645080566
"Prince George",57,2017,8,13.7935352325439
"Nicola-Similkameen",58,2017,8,31.7300224304199
"Peace River South",59,2017,8,6.48827075958252
"Rocky Mountain",6,2017,8,24.7706451416016
"Peace River North",60,2017,8,3.51538920402527
"Victoria",61,2017,8,14.1425352096558
"Sooke",62,2017,8,9.4310245513916
"Saanich",63,2017,8,12.6052150726318
"Gulf Islands",64,2017,8,14.9875288009644
"Nanaimo-Ladysmith",68,2017,8,15.8459587097168
"Qualicum",69,2017,8,14.766016960144
"Pacific Rim",70,2017,8,9.90316772460938
"Comox Valley",71,2017,8,13.6166801452637
"Campbell River",72,2017,8,22.2173633575439
"Kamloops-Thompson",73,2017,8,26.9778823852539
"Gold Trail",74,2017,8,26.0164184570312
